"","Abundance","Site_number","Family"
"453",0.0509803921568627,"175","Flavobacteriaceae"
"454",0.0508474576271186,"81","Vibrionaceae"
"455",0.05,"128","Flavobacteriaceae"
"456",0.0498084291187739,"163","Rhodobacteraceae"
"457",0.0498084291187739,"178","Flavobacteriaceae"
"458",0.0497737556561086,"40","Moraxellaceae"
"459",0.0497737556561086,"140","Vibrionaceae"
"460",0.0497737556561086,"140","Rhodobacteraceae"
"461",0.0497737556561086,"140","Flavobacteriaceae"
"462",0.0495495495495495,"52","Moraxellaceae"
"463",0.0495495495495495,"52","Vibrionaceae"
"464",0.0491803278688525,"147","Moraxellaceae"
"465",0.0491803278688525,"105","Bacteriovoracaceae"
"466",0.0490654205607477,"69","Rhodobacteraceae"
"467",0.0489130434782609,"116","Rhodobacteraceae"
"468",0.0488721804511278,"89","Flavobacteriaceae"
"469",0.0484848484848485,"41","Flavobacteriaceae"
"470",0.0481927710843374,"50","Pirellulaceae"
"471",0.0481927710843374,"50","Vibrionaceae"
"472",0.0481927710843374,"50","Flavobacteriaceae"
"473",0.0481927710843374,"50","Flavobacteriaceae"
"474",0.0481927710843374,"50","Flavobacteriaceae"
"475",0.0476190476190476,"169","Flavobacteriaceae"
"476",0.0474137931034483,"65","Rhodobacteraceae"
"477",0.0474137931034483,"65","Flavobacteriaceae"
"478",0.0473684210526316,"205","Cryomorphaceae"
"479",0.0473684210526316,"205","Flavobacteriaceae"
"480",0.047244094488189,"91","Moraxellaceae"
"481",0.0471380471380471,"142","Flavobacteriaceae"
"482",0.0470588235294118,"175","Flavobacteriaceae"
"483",0.047008547008547,"170","Flavobacteriaceae"
"484",0.0469483568075117,"155","Flavobacteriaceae"
"485",0.0469483568075117,"155","Rhodobacteraceae"
"486",0.0469483568075117,"155","Flavobacteriaceae"
"487",0.0465116279069767,"57","Rhodobacteraceae"
"488",0.0465116279069767,"57","Moraxellaceae"
"489",0.0465116279069767,"55","Flavobacteriaceae"
"490",0.0465116279069767,"55","Flavobacteriaceae"
"491",0.0465116279069767,"62","Flavobacteriaceae"
"492",0.0463917525773196,"201","Flavobacteriaceae"
"493",0.0461538461538462,"160","Rhodobacteraceae"
"494",0.0461538461538462,"160","Flavobacteriaceae"
"495",0.0461538461538462,"160","Pirellulaceae"
"496",0.0461538461538462,"160","Vibrionaceae"
"497",0.0460992907801418,"167","Moraxellaceae"
"498",0.0460992907801418,"180","Flavobacteriaceae"
"499",0.0456852791878173,"93","Flavobacteriaceae"
"500",0.0456852791878173,"93","Flavobacteriaceae"
"501",0.0456852791878173,"107","Flavobacteriaceae"
"502",0.0455927051671733,"87","Moraxellaceae"
"503",0.0454545454545455,"149","Vibrionaceae"
"504",0.0454545454545455,"122","Flavobacteriaceae"
"505",0.0452488687782805,"40","Flavobacteriaceae"
"506",0.0451612903225806,"143","Flavobacteriaceae"
"507",0.0451612903225806,"144","Flavobacteriaceae"
"508",0.0451612903225806,"144","Flavobacteriaceae"
"509",0.0451388888888889,"208","Moraxellaceae"
"510",0.0451127819548872,"89","Flavobacteriaceae"
"511",0.0448430493273543,"54","Rhodobacteraceae"
"512",0.0444444444444444,"206","Rhodobacteraceae"
