"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"aa6734545ef91187f72b0ad71e626d64","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"6397359f60deb50ac2471a825fc6bcf9","Bacteria",NA,NA,NA,NA,NA,NA
"65df3e43add6568c3b849287f5285a59","Bacteria",NA,NA,NA,NA,NA,NA
"7c1c2283d7dfaf4fa24e387b9bf4fbce","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"f68b7f85a8ef70473a0ac3ec793096c2","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"3e0c8274de64646604d7993d2a5ffeb0","Bacteria",NA,NA,NA,NA,NA,NA
"0101f902f2a907b9fb0799e57d6f73bd","Bacteria",NA,NA,NA,NA,NA,NA
"7e6d4a003c283f67594b1ebd8d3e0006","Bacteria",NA,NA,NA,NA,NA,NA
"cc40e2b7456e3c46a8844bb055785492","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"851261c057b0e2eb012677bbe295263f","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"c90e231a04a212ccc4417fe643516f06","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"4d54f7f6abbf806416c64d22af41cb48","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"7284fcbe340836e2288b2cccc01631d5","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"f8f87aac2bddc23e8dfdec84384638b9","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"e4439a8fab9e858c98f21dc79161a1c5","Bacteria",NA,NA,NA,NA,NA,NA
"2e34e68f6ecc5f93e671384e5f110d7b","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"2c61a5b497653ce169611015705f3241","Bacteria",NA,NA,NA,NA,NA,NA
"fa556e50c1c594248c870a3b87eb3e20","Bacteria",NA,NA,NA,NA,NA,NA
"53cdc4ec61dc9dfcea47a5078ba65695","Bacteria",NA,NA,NA,NA,NA,NA
"56026da20c00a6c0eddfd1da19a2dc93","Bacteria",NA,NA,NA,NA,NA,NA
"c89fa1b6dfa4ea7966f28859788980f7","Bacteria",NA,NA,NA,NA,NA,NA
"4b52580351120a6a55f99311ff188efe","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"c2fe11c9f7aa6eaa9b73f944f0037e00","Bacteria",NA,NA,NA,NA,NA,NA
"d67d3011206f4abae8af546e793a2669","Bacteria",NA,NA,NA,NA,NA,NA
"5ab9088119f0cfc04237d16228b5de90","Bacteria",NA,NA,NA,NA,NA,NA
"de3675e26bc8d6bb4cb3e04131555fe8","Bacteria",NA,NA,NA,NA,NA,NA
"10c98c5e43bd7339303f74de4db2405b","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"0ca4ae0f7087dc45e7539d18996772bd","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"e18bfe7ec514b1c0c118bf5c9b62edf1","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"b472981c9899a00ba9d97929c5f2e082","Bacteria",NA,NA,NA,NA,NA,NA
"312ba5e9fcb19488e40ad29b17791967","Bacteria",NA,NA,NA,NA,NA,NA
"875a3a64376f6864053cb6ce96f58976","Bacteria",NA,NA,NA,NA,NA,NA
"3978d6f8104108382af4f18c84041f29","Bacteria",NA,NA,NA,NA,NA,NA
"23babb7d07a92bb673405571a12d070b","Bacteria",NA,NA,NA,NA,NA,NA
"6f75590961c72baee9d20f8ca84e3ddc","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"056d1adeb3866b0e44b117404e1e0c18","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"912bc8bc9082bad69a7b31ac2b4d8e7e","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"25cdb0e809c47bf72ec0c9ea4a20f3f3","Bacteria",NA,NA,NA,NA,NA,NA
"04c025b999b3639dd84855cc737446a3","Bacteria",NA,NA,NA,NA,NA,NA
"ef94beb200845246c4e72636d7cbd342","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"1a11f3925bd1dde9e9d492ddeddf4a61","Bacteria",NA,NA,NA,NA,NA,NA
"c6fb3c760c6004dc27def9b4837f28a1","Bacteria",NA,NA,NA,NA,NA,NA
"c57746f602c05ab3fba06c48e91bbcaf","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"721caba5eca8b7f722e712ba92943746","Bacteria",NA,NA,NA,NA,NA,NA
"bf4bc639e66827a7d8425f4f7a272079","Bacteria",NA,NA,NA,NA,NA,NA
"ce7a0837c20b1b8fa5420660b1ca6a5d","Bacteria",NA,NA,NA,NA,NA,NA
"8b0dd7a8f146cf48d99c9e9a22d50fcb","Bacteria",NA,NA,NA,NA,NA,NA
"eeb516c76898ca3197da0c924db101d8","Bacteria",NA,NA,NA,NA,NA,NA
"457b8b65b0f1aa83947d3bb20cdd0f16","Bacteria",NA,NA,NA,NA,NA,NA
"7ab304ce3a94cb8853380b32bc163296","Bacteria",NA,NA,NA,NA,NA,NA
"cdb258db17bcd03da0c76892c16733e8","Bacteria",NA,NA,NA,NA,NA,NA
"338f5d928b6360967b55e64e692471e3","Bacteria",NA,NA,NA,NA,NA,NA
"ab21773d55ee408fed40b982cb055ad6","Bacteria",NA,NA,NA,NA,NA,NA
"a8d5fc62913de2cf3609414494c9c09a","Bacteria",NA,NA,NA,NA,NA,NA
"cdcf1b079ae42e7caadcb587d7509815","Bacteria",NA,NA,NA,NA,NA,NA
"df445363625ed242f33584368eef84d9","Bacteria",NA,NA,NA,NA,NA,NA
"5d87c2eac78271a6b8ce5d8ccf3f3bdc","Bacteria",NA,NA,NA,NA,NA,NA
"9843aa6971abf7a14756c8d2817a1656","Bacteria",NA,NA,NA,NA,NA,NA
"8b4d3ff11d87eaa19dca5774fe7938a6","Bacteria",NA,NA,NA,NA,NA,NA
"d21fd2ba1fe588626a5a29e703204f19","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"1709557247df42a3f882779d03e1f8a3","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"170840402f91a652125f8cbbc6f988ae","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"7e6598e73cbe7c4d90cf97349acfdf70","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ac3bac434afdbef9271897526dce9f35","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"92053a1ea090346c586a6986f4a74b61","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"b8a41aa0935db255ba6c65733b275af6","Bacteria",NA,NA,NA,NA,NA,NA
"bb4465267a8f756eead14b0567d94959","Bacteria",NA,NA,NA,NA,NA,NA
"963d58db715ebae639c60046f3538c10","Bacteria",NA,NA,NA,NA,NA,NA
"eae2f3161aef794a90a796d9bca20054","Bacteria",NA,NA,NA,NA,NA,NA
"f6c75faf96b203f0db9fa23e0b98c832","Bacteria",NA,NA,NA,NA,NA,NA
"46dac13db22e8044ece0d7b6b3c6702a","Bacteria",NA,NA,NA,NA,NA,NA
"74a50b18cf13902adc120e2912ef6e87","Bacteria",NA,NA,NA,NA,NA,NA
"543be42c77c96d1ac4ab6e48cf3f9674","Bacteria",NA,NA,NA,NA,NA,NA
"66619aa2b51385d1a51d977e5aa176fa","Bacteria",NA,NA,NA,NA,NA,NA
"1814a772edcf1cf03c978423fba67db9","Bacteria",NA,NA,NA,NA,NA,NA
"40fd561aa60c1bb0f34f8256989263a9","Bacteria",NA,NA,NA,NA,NA,NA
"bd7e692b047e1a1280695560433686ad","Bacteria",NA,NA,NA,NA,NA,NA
"daa419ff21fe1d16d70cc4b2283f9265","Bacteria",NA,NA,NA,NA,NA,NA
"0da444fa8d74905a823f9c6e99d56237","Bacteria",NA,NA,NA,NA,NA,NA
"38dfb4add4f883c8d69c787d5d6d19a9","Bacteria",NA,NA,NA,NA,NA,NA
"7ad5abe1c8b51675e698667baad714d7","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"28c8bc6cd76b0bdf46bb813b7d9f7e1c","Bacteria",NA,NA,NA,NA,NA,NA
"e952a5f4b74c43e59573b4cf4f7bf534","Bacteria",NA,NA,NA,NA,NA,NA
"383295f950d953e6e50b9ccd07b0db05","Bacteria",NA,NA,NA,NA,NA,NA
"1a4a577fef7202945b37c944f0da16c2","Bacteria",NA,NA,NA,NA,NA,NA
"7efef4d0de02e44463f56efb0975aeae","Bacteria",NA,NA,NA,NA,NA,NA
"c7c1ef6857756f1cde6f9cdf96ff99da","Bacteria",NA,NA,NA,NA,NA,NA
"5958c6a0273b76d4d4e38e1a02368c67","Bacteria",NA,NA,NA,NA,NA,NA
"aab1820292d46a47be4aa24451c44394","Bacteria",NA,NA,NA,NA,NA,NA
"fe63f36edd74e7858639dc14fdbfd895","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"15c0f2da3f2c0e031ebb2b3135d0d987","Bacteria",NA,NA,NA,NA,NA,NA
